aapl	320193
msft	789019
amzn	1018724
goog	1652044
fb	1326801
tcehy	1293451
baba	1577552
tsla	1318605
brk-a	1067983
tsm	1046179
v	1403161
wmt	104169
jnj	200406
jpm	19617
pg	80424
ma	1141391
spy	884394
nvda	1045810
unh	731766
lvmuy	824046
hd	354950
dis	1744489
idcby	1445468
pypl	1633917
vz	732712
bac	70858
cmcsa	1166691
adbe	796343
nflx	1065280
ko	21344
pfe	78003
nke	320187
intc	50863
t	732717
mrk	310158
nvs	1114448
crm	1108524
pep	77476
orcl	1341439
cichy	1445474
asml	937966
tm	1094517
abt	1800
tmo	97745
csco	858877
abbv	1551152
orcl	1341439
pdd	1737806
qcom	804328
cvx	93410
xom	34088
cihky	1495688
avgo	1730168
acgby	1501437
cost	909832
tmus	1283699
dhr	313616
acn	1467373
nvo	353278
mcd	63908
bhp	811809
txn	97476
mdt	1613103
ul	217410
hon	773840
lfc	1268896
sap	1000184
ups	1090727
nee	753308
rds-a	1306965
lly	59478
azn	901832
bmy	14272
bud	1668717
unp	100885
aagiy	1511634
rtntf	887028
chtr	1091667
bachy	1378999
ba	12927
jd	1549802
amgn	318154
shop	1594805
lin	1707925
bbl	1171264
pm	1413329
sftby	1065521
sny	1121404
chl	1117795
wfc	72971
c	831001
qqq	1067839
sbux	829224
tot	879764
ms	895421
zm	1585521
ry	1000275
sne	313838
amd	2488
rtx	101829
hsbc	1089113
ptr	1108329
low	60667
ibm	51143
snow	1640147
blk	1364742
hesay	1436949
now	1373715
hdb	1144967
intu	896878
amt	1053507
lmt	936468
td	947263
axp	4962
mmm	66740
cat	18230
se	1703399
chdry	1450488
cvs	64803
sq	1512673
schw	316709
ge	40545
uber	1543151
gsk	1131399
fis	1136893
deo	835403
rio	863064
eadsy	1378580
syk	310764
isrg	1035267
el	1001250
ppruy	1445465
bkng	1075531
bti	1303523
tgt	27419
frcoy	1446595
mdlz	1103982
vale	917851
gs	886982
spgi	64040
amat	6951
mu	723125
antm	1156039
tjx	109198
de	315189
ci	1739940
chgcy	1453934
meli	1099590
fisv	798354
fdx	1048911
aiquy	1161167
mo	764180
gild	882095
cni	16868
sbgsy	923734
cta-pa	30554
zts	1555280
dmlry	1067318
adp	8670
snap	1564408
bp	313807
lrcx	707549
cl	21665
pld	1045609
snp	1123658
njdcy	1158967
beke	1809587
dnngy	1679771
csx	277948
pbr	1119639
cci	1051470
byddy	1445162
cb	896159
shecy	1442651
bdx	10795
duk	1326160
usb	36104
bnpqy	310732
esloy	1085922
enb	895728
cme	1156375
kddiy	1106215
so	92122
infy	1067491
tfc	92230
spot	1639920
shw	89800
dkily	1446519
itw	49826
atvi	718877
ecl	31462
gm	1467858
amx	1129137
safry	1364012
bns	9631
mrna	1682852
hkxcy	1445476
bam	1001085
ntes	1110646
eqix	1101239
d	715957
ice	1571949
rbgly	1420798
adsk	769397
nsc	702165
apd	2969
pnc	713676
gpn	1123360
vrtx	875320
pstvy	1689565
vcisy	1065198
tak	1395064
vmw	1124610
nio	1736541
mmc	62709
team	1650372
olcly	1545460
san	891478
ntoiy	1436791
abb	1091587
mufg	67088
itub	1132597
hum	49071
mraay	1450468
toely	1443276
eqnr	1140625
mco	1059556
ew	1099800
wbk	719245
wday	1327811
adi	6281
regn	872589
pgr	80661
hca	860730
race	1648416
dell	1571996
